Total_income,Age_gap
20275,15
110875,9
110875,9
110875,4
110875,3
75775,12
75775,4
75775,5
21050,15
77000,9
77000,7
77000,1
77000,2
80700,7
80700,8
80700,1
64000,10
129325,11
129325,6
129325,13
66350,7
66350,8
66350,1
121050,12
121050,12
52925,15
52925,13
52925,9
94950,7
94950,7
94950,1
94950,1
183725,13
183725,13
134400,9
134400,14
18925,15
24600,12
24600,14
237150,11
237150,11
237150,5
237150,5
237150,5
3600,5
68350,13
68350,15
267900,5
267900,12
267900,12
267900,5
108350,14
108350,15
60975,10
60975,11
69450,11
69450,5
137000,15
137000,15
237725,14
237725,15
150150,9
150150,7
22175,15
20000,15
47500,15
60000,13
25350,15
24200,7
24200,3
43150,12
43150,13
31200,11
18350,15
111600,8
111600,9
111600,1
139800,13
139800,13
33050,5
33050,10
131125,14
131125,14
64275,10
64275,4
64275,3
33875,6
33875,1
33875,1
49925,14
63225,12
50000,15
21300,15
164725,13
164725,12
164725,5
37400,9
21950,15
62925,9
55425,12
55425,12
57075,15
57075,15
112800,11
112800,13
27125,15
21900,15
26575,15
38725,7
38725,8
44275,8
44275,7
67950,13
31350,15
448500,13
448500,13
58500,7
58500,7
58500,1
142000,12
142000,12
142000,6
125000,11
125000,12
125000,5
40625,7
40625,6
106050,13
106050,12
154075,10
154075,10
154075,5
137000,8
137000,8
137000,2
131000,8
131000,8
131000,2
131000,2
147250,7
147250,9
147250,12
147250,1
147250,1
136900,13
136900,14
105400,9
105400,9
105400,3
105400,3
184550,10
184550,9
184550,1
184550,2
184550,2
227825,8
227825,8
132925,14
132925,13
194625,12
194625,13
33300,13
65625,8
95000,12
153650,12
153650,11
153650,4
30900,6
1650,6
30900,2
30900,1
30900,1
32550,13
95175,7
95175,7
107100,8
107100,6
107100,3
107100,3
107100,1
133850,10
133850,10
133850,3
133850,2
145225,14
145225,14
238325,15
238325,14
40600,6
121300,7
95400,14
95400,14
86900,9
86900,3
82025,7
75300,15
75300,15
75300,11
97500,11
97500,10
97500,2
49475,12
49475,3
280025,13
280025,12
280025,2
280025,5
280025,4
62000,15
75100,12
87600,10
228250,10
29250,14
30925,6
32075,6
54275,14
100050,15
76350,10
76350,9
76350,3
270175,13
76100,8
76100,3
76100,9
524975,12
524975,12
524975,5
524975,5
524975,15
36750,15
17625,14
94750,15
11050,11
48400,8
48400,2
48400,1
363275,11
363275,9
363275,3
129425,11
129425,12
129425,5
129425,5
129425,5
129425,4
101475,13
101475,12
25050,14
50250,11
17325,15
364375,12
364375,12
44425,15
44425,15
30475,12
58525,15
58525,15
71650,15
71650,6
96500,15
96500,15
21500,15
85525,8
85525,7
85525,3
85525,2
22700,6
22700,2
79250,15
42725,15
42725,14
202750,10
202750,11
202750,4
202750,3
202750,3
189975,10
189975,10
189975,3
189975,3
117400,8
117400,1
117400,1
112800,10
135000,9
310675,14
